position_id;code;title;grade_id;department_id;is_unique;headcount_slot
POS-MKT-001;MKT-5C-001;Marketing Director;5C;D-MKT;1;1
POS-MKT-002;MKT-5A-002;Brand Manager;5A;D-MKT;0;2
POS-MKT-003;MKT-4C-003;Assistant Brand Manager;4C;D-MKT;0;2
POS-MKT-004;MKT-4A-004;Digital Marketing Officer;4A;D-MKT;0;2
POS-MKT-005;MKT-3C-005;Marketing Analyst Staff;3C;D-MKT;1;1
POS-SLS-006;SLS-5C-006;General Manager Sales;5C;D-SLS;1;1
POS-SLS-007;SLS-5A-007;Regional Sales Manager;5A;D-SLS;0;2
POS-SLS-008;SLS-4B-008;Area Sales Supervisor;4B;D-SLS;0;4
POS-SLS-009;SLS-3C-009;Sales Admin Officer;3C;D-SLS;0;3
POS-SLS-010;SLS-3A-010;Merchandising Staff;3A;D-SLS;0;2
POS-PRD-011;PRD-5B-011;Plant Manager;5B;D-PRD;1;1
POS-PRD-012;PRD-5A-012;Production Manager;5A;D-PRD;1;1
POS-PRD-013;PRD-4B-013;Production Supervisor;4B;D-PRD;0;3
POS-PRD-014;PRD-3C-014;Line Leader;3C;D-PRD;0;5
POS-PRD-015;PRD-2A-015;Operator Produksi;2A;D-PRD;0;4
POS-QAS-016;QAS-5A-016;QA Manager;5A;D-QAS;1;1
POS-QAS-017;QAS-4B-017;QA Supervisor;4B;D-QAS;0;2
POS-QAS-018;QAS-3C-018;QC Analyst;3C;D-QAS;0;3
POS-QAS-019;QAS-3A-019;QC Inspector;3A;D-QAS;1;1
POS-SCM-020;SCM-5A-020;Supply Chain Manager;5A;D-SCM;1;1
POS-SCM-021;SCM-4B-021;Demand Planner;4B;D-SCM;0;2
POS-SCM-022;SCM-4A-022;Warehouse Supervisor;4A;D-SCM;0;2
POS-SCM-023;SCM-3A-023;Logistic Admin Staff;3A;D-SCM;0;3
POS-HCP-024;HCP-5A-024;Human Capital Manager;5A;D-HCP;1;1
POS-HCP-025;HCP-4C-025;HC Business Partner;4C;D-HCP;0;2
POS-HCP-026;HCP-4A-026;Recruitment Officer;4A;D-HCP;0;2
POS-HCP-027;HCP-3A-027;HC Admin Staff;3A;D-HCP;1;1
POS-FIN-028;FIN-5A-028;Finance Manager;5A;D-FIN;1;1
POS-FIN-029;FIN-4B-029;Accounting Supervisor;4B;D-FIN;0;2
POS-FIN-030;FIN-4A-030;Tax Officer;4A;D-FIN;1;1
POS-FIN-031;FIN-3C-031;AP/AR Officer;3C;D-FIN;0;2
POS-FIN-032;FIN-3A-032;Finance Admin Staff;3A;D-FIN;1;1
