grade_id;fixed_income;variable_income;company_coverage;gaji_pokok;tunj_grade;tunj_jabatan;tunj_komunikasi;tunj_kehadiran;tunj_makan;tunj_pph21;tunj_cop_hop;bpjs_kes;jht;jkk;jkm;jp;jkp;asuransi_pihak_ketiga;accrual_thr;accrual_bonus
1A;4119000;1206000;693205;3745000;374000;0;0;400000;600000;206000;0;164760;152403;22243;12357;82380;9062;250000;343250;343250
1B;4590000;1230000;743884;4173000;417000;0;0;400000;600000;230000;0;183600;169830;24786;13770;91800;10098;250000;382500;382500
1C;5061000;1253000;794563;4601000;460000;0;0;400000;600000;253000;0;202440;187257;27329;15183;101220;11134;250000;421750;421750
2A;5650000;1282000;857940;5136000;514000;0;0;400000;600000;282000;0;226000;209050;30510;16950;113000;12430;250000;470833;470833
2B;6356000;1318000;933905;5778000;578000;0;0;400000;600000;318000;0;254240;235172;34322;19068;127120;13983;250000;529667;529667
2C;7062000;1353000;1009871;6420000;642000;0;0;400000;600000;353000;0;282480;261294;38135;21186;141240;15536;250000;588500;588500
3A;8389000;1412000;1136517;7490000;749000;0;150000;400000;600000;412000;0;329560;304843;44491;24717;164780;18126;250000;686583;686583
3B;9801000;1869000;1288447;8774000;877000;0;150000;400000;600000;869000;0;386040;357087;52115;28953;193020;21232;250000;804250;804250
3C;11449000;2017000;1450741;10272000;1027000;0;150000;400000;600000;1017000;0;451960;418063;61015;33897;210948;24858;250000;941583;941583
4A;13885000;1818000;1885214;12305000;1230000;0;350000;0;600000;1218000;0;480000;500795;73089;40605;210948;29777;550000;1127917;1691875
4B;18433000;2951000;2101699;14980000;1498000;1605000;350000;0;600000;2351000;0;480000;669071;97648;54249;210948;39783;550000;1506917;2260375
4C;24511000;3702000;2376731;19260000;1926000;2675000;650000;0;600000;3102000;0;480000;882857;128849;71583;210948;52494;550000;1988417;2982625
5A;36816000;4884000;3209653;25680000;2568000;4708000;650000;0;600000;4284000;3210000;480000;1219372;177962;98868;210948;72503;950000;2746333;5492667
5B;50726000;8651000;3769905;34240000;3424000;7062000;650000;0;600000;8051000;5350000;480000;1654862;241520;134178;210948;98397;950000;3727167;7454333
5C;72041000;11829000;4610283;48150000;4815000;9416000;1100000;0;600000;11229000;8560000;480000;2308097;336857;187143;210948;137238;950000;5198417;10396833
6A;125755000;19186000;7605886;69550000;6955000;26750000;1100000;0;600000;18586000;21400000;480000;3820435;557577;309765;210948;227161;2000000;8604583;25813750
6B;187815000;28431000;10050622;101650000;10165000;42800000;1100000;0;600000;27831000;32100000;480000;5720755;834921;463845;210948;340153;2000000;12884583;38653750
7;279300000;42972000;13895988;160500000;16050000;58850000;1100000;0;600000;42372000;42800000;480000;8709800;1271160;706200;210948;517880;2000000;19616667;58850000
